Stability,Model,Efficiency,Accuracy,Energy_Consumption,Maintenance_Cost
96.23,66.51,80.52,82.41,89.69,80.1
92.76,68.48,41.67,80.51,94.45,56.95
63.5,53.2,58.13,74.76,99.19,86.6
54.55,98.07,70.71,44.8,87.74,81.97
77.33,71.45,56.11,66.55,92.53,77.42
84.49,88.45,64.15,89.14,107.01,58.82
57.37,67.81,70.56,74.94,97.56,64.8
90.78,60.93,55.74,89.01,103.67,76.95
67.67,73.99,77.45,53.29,93.66,79.31
68.02,75.99,74.18,87.17,92.21,95.56
89.18,78.85,78.77,97.69,95.09,86.47
58.07,104.37,51.52,31.52,82.95,87.96
58.8,71.2,65.24,59.22,94.87,81.24
90.69,82.64,71.04,80.14,90.29,86.57
74.52,91.3,67.86,58.54,85.52,74.77
75.33,80.01,45.36,51.94,93.73,57.02
57.32,65.54,69.97,64.93,96.97,92.42
71.75,65.98,43.5,76.53,92.79,84.43
80.75,64.89,76.61,79.88,89.56,86.89
65.32,71.51,76.27,68.85,91.79,93.44
95.64,74.67,100.83,78.18,88.0,83.51
86.51,79.96,95.63,83.74,85.94,88.0
64.17,81.59,58.4,77.48,88.05,95.15
85.9,78.3,58.69,85.33,96.63,81.54
66.46,71.2,49.98,46.2,62.36,44.82
62.14,79.87,56.12,95.54,65.11,79.4
77.96,89.71,70.93,105.6,60.76,78.33
81.68,94.77,84.78,97.0,74.14,80.32
99.29,93.78,76.69,56.54,59.41,86.11
73.57,56.13,61.03,99.18,67.05,43.35
93.67,89.83,81.22,63.79,70.87,61.83
91.2,75.78,79.99,76.35,64.05,54.08
67.34,92.48,61.51,91.28,58.17,63.73
60.84,75.16,62.68,86.28,69.06,64.11
72.05,75.25,60.85,84.74,64.99,80.28
67.24,75.93,50.72,95.8,64.1,62.87
100.46,79.28,93.02,85.09,62.42,92.01
95.15,95.46,100.36,64.05,63.85,68.99
90.68,68.19,32.82,78.53,73.39,80.06
75.22,84.48,43.1,74.84,55.69,65.32
68.5,99.41,87.73,87.58,57.32,95.27
70.16,84.24,71.82,103.46,74.78,86.42
103.0,86.78,82.0,40.7,75.97,60.78
71.7,77.3,87.34,66.71,44.84,90.15
71.41,70.15,42.79,59.19,71.02,63.83
83.45,86.84,58.01,66.93,62.24,66.2
87.74,125.25,90.47,65.09,69.75,57.98
81.75,88.34,60.46,74.67,57.0,80.6
80.93,96.44,80.54,93.63,72.76,68.37
91.33,72.67,87.04,67.67,56.88,54.78
97.44,76.97,78.12,77.63,72.81,47.43
73.26,94.54,69.34,63.86,65.65,64.74
73.98,75.25,89.66,102.26,65.43,59.2
64.15,70.09,64.08,96.92,58.98,80.53
99.37,113.38,90.07,56.21,79.44,53.91
89.35,97.68,70.6,85.37,65.47,66.74
78.27,85.44,90.04,63.28,58.88,35.47
64.33,73.73,93.56,61.61,69.86,80.31
69.28,65.25,99.36,78.22,51.82,70.26
42.83,79.74,85.85,61.77,83.94,84.27
52.13,93.87,76.77,58.37,89.4,44.12
48.56,50.22,85.67,91.74,81.4,79.37
63.33,94.97,83.79,56.99,81.64,67.14
63.26,65.35,75.14,80.57,74.94,73.09
72.41,75.03,69.05,92.5,68.04,41.16
61.88,75.67,86.61,63.26,90.01,76.43
66.89,69.56,105.88,50.27,66.6,68.94
61.59,93.39,79.92,46.21,74.1,51.42
64.92,91.03,65.07,85.72,73.87,60.47
79.16,88.78,93.93,82.63,57.3,55.42
67.19,91.96,101.09,100.12,65.07,80.24
62.45,62.14,63.58,73.88,74.71,58.73
51.3,83.31,87.49,100.19,84.74,70.11
50.68,74.66,82.14,71.68,94.09,85.15
83.46,65.8,89.8,87.9,65.84,58.14
69.38,85.55,91.11,66.76,73.57,73.27
79.53,65.01,64.23,71.66,60.68,67.74
56.88,58.45,92.29,96.29,65.78,91.36
60.38,37.92,74.33,69.36,79.21,79.12
67.45,67.21,80.77,84.65,71.43,54.13
56.44,79.05,86.02,57.53,84.24,65.1
57.28,113.63,75.95,73.73,100.22,49.81
64.68,101.45,86.85,107.17,76.52,56.05
67.31,65.44,82.66,81.92,71.08,62.85
81.57,78.08,92.26,90.7,51.49,48.63
66.71,76.52,72.01,79.87,72.28,59.58
51.51,86.86,57.9,64.79,108.43,59.41
53.09,71.48,99.84,114.12,72.69,75.72
57.26,43.4,79.91,54.92,78.82,91.62
51.24,73.72,90.41,53.72,66.8,67.72
67.31,59.31,98.09,76.54,47.69,78.58
68.14,79.1,88.44,75.48,71.55,58.18
67.28,88.94,73.13,78.85,68.66,36.04
74.2,57.83,53.85,70.86,73.15,56.28
77.31,68.81,95.74,65.12,52.42,68.15
67.2,67.75,95.36,64.93,68.99,62.48
54.71,79.04,75.4,57.48,85.73,63.43
58.27,63.59,100.74,68.62,65.74,85.38
57.77,88.47,67.57,91.87,79.86,68.33
63.15,92.5,72.41,80.94,87.36,37.88
