Record,Reward,Optimal_Reward
1,48.86,48.86
2,40.2,89.06
3,31.59,120.64
4,35.29,155.93
5,36.53,192.46
6,47.45,239.91
7,38.04,277.94
8,40.97,318.91
9,37.36,356.27
10,42.2,398.47
11,50.74,449.21
12,29.36,478.57
13,32.98,511.56
14,46.64,558.19
15,41.24,599.44
16,33.72,633.16
17,32.83,665.99
18,32.71,698.7
19,43.37,742.06
20,38.1,780.17
21,54.02,834.19
22,52.56,886.75
23,36.85,923.6
24,42.85,966.44
25,34.99,1001.43
26,43.1,1044.53
27,53.99,1098.52
28,55.7,1154.22
29,49.85,1204.07
30,47.19,1251.26
31,52.0,1303.26
32,53.06,1356.32
33,48.78,1405.11
34,43.05,1448.16
35,43.33,1491.49
36,43.98,1535.47
37,56.81,1592.28
38,57.96,1650.25
39,36.93,1687.18
40,41.36,1728.54
41,52.8,1781.34
42,49.19,1830.53
43,48.58,1879.11
44,47.61,1926.73
45,33.85,1960.58
46,44.76,2005.34
47,59.2,2064.54
48,45.89,2110.43
49,55.4,2165.83
50,53.29,2219.13
51,54.07,2273.19
52,45.9,2319.09
53,56.49,2375.58
54,44.8,2420.38
55,57.31,2477.68
56,54.03,2531.71
57,54.2,2585.91
58,44.62,2630.53
59,51.92,2682.45
60,37.52,2719.97
61,42.02,2761.99
62,40.93,2802.92
63,44.38,2847.3
64,42.55,2889.85
65,50.58,2940.43
66,41.39,2981.82
67,46.78,3028.6
68,43.0,3071.6
69,46.62,3118.22
70,57.89,3176.1
71,58.0,3234.1
72,39.14,3273.24
73,49.18,3322.42
74,38.28,3360.7
75,54.19,3414.89
76,48.15,3463.05
77,43.21,3506.25
78,46.76,3553.01
79,34.39,3587.4
80,48.14,3635.54
81,41.22,3676.76
82,47.23,3723.99
83,58.04,3782.03
84,46.93,3828.97
85,59.22,3888.19
86,45.61,3933.8
87,33.98,3967.78
88,54.28,4022.06
89,31.88,4053.94
90,41.2,4095.14
91,49.56,4144.7
92,49.73,4194.43
93,50.38,4244.81
94,38.21,4283.01
95,50.69,4333.7
96,47.28,4380.98
97,38.23,4419.21
98,44.99,4464.2
99,45.27,4509.47
100,48.27,4557.74
