Simulation,Total_Reward
1,4544.53
2,4520.96
3,4532.29
4,4564.21
5,4381.06
6,4455.79
7,4388.68
8,4545.24
9,4591.54
10,4480.95
11,4559.0
12,4537.21
13,4607.91
14,4682.03
15,4565.01
16,4442.14
17,4430.45
18,4448.38
19,4547.22
20,4520.98
21,4546.37
22,4515.89
23,4658.31
24,4529.02
25,4549.43
26,4469.11
27,4465.67
28,4550.26
29,4506.39
30,4438.62
31,4573.93
32,4683.21
33,4519.78
34,4563.18
35,4577.94
36,4642.13
37,4492.66
38,4701.97
39,4662.88
40,4445.55
41,4591.75
42,4653.56
43,4473.49
44,4629.3
45,4636.8
46,4640.96
47,4583.38
48,4514.49
49,4664.55
50,4587.84
51,4524.93
52,4562.83
53,4478.98
54,4624.8
55,4547.29
56,4485.04
57,4521.41
58,4616.18
59,4547.65
60,4537.21
61,4406.45
62,4477.34
63,4569.2
64,4631.53
65,4485.89
66,4557.0
67,4508.34
68,4552.41
69,4525.57
70,4514.73
71,4462.92
72,4478.15
73,4567.0
74,4571.76
75,4710.58
76,4525.79
77,4504.94
78,4469.42
79,4458.53
80,4710.6
81,4424.39
82,4627.99
83,4628.77
84,4617.83
85,4523.33
86,4447.86
87,4582.74
88,4538.17
89,4601.35
90,4619.37
91,4390.78
92,4593.15
93,4506.92
94,4535.71
95,4503.27
96,4565.4
97,4550.56
98,4583.72
99,4529.93
100,4475.97
101,4495.38
102,4673.72
103,4506.23
104,4725.77
105,4664.12
106,4573.7
107,4487.58
108,4624.8
109,4538.33
110,4533.31
111,4373.05
112,4627.07
113,4767.68
114,4654.45
115,4585.83
116,4631.96
117,4663.53
118,4417.28
119,4541.99
120,4473.48
121,4539.15
122,4686.86
123,4441.28
124,4514.32
125,4573.65
126,4508.82
127,4514.01
128,4534.99
129,4605.93
130,4434.04
131,4584.72
132,4598.26
133,4493.46
134,4726.32
135,4572.81
136,4517.86
137,4467.39
138,4624.72
139,4625.86
140,4423.0
141,4513.47
142,4495.16
143,4522.43
144,4433.42
145,4574.88
146,4543.14
147,4719.33
148,4607.21
149,4454.21
150,4600.18
151,4417.86
152,4582.63
153,4476.93
154,4447.85
155,4607.2
156,4596.18
157,4594.05
158,4431.76
159,4524.11
160,4622.17
161,4532.78
162,4546.44
163,4617.87
164,4491.78
165,4570.86
166,4595.32
167,4577.26
168,4497.81
169,4623.46
170,4537.48
171,4486.04
172,4679.43
173,4542.43
174,4461.27
175,4627.5
176,4640.62
177,4634.49
178,4474.4
179,4517.13
180,4427.6
181,4628.98
182,4642.86
183,4472.74
184,4601.65
185,4489.88
186,4434.32
187,4397.44
188,4578.43
189,4497.75
190,4444.1
191,4600.01
192,4454.43
193,4547.41
194,4475.11
195,4596.01
196,4496.98
197,4630.75
198,4516.08
199,4600.42
200,4516.57
201,4575.89
202,4556.26
203,4540.19
204,4488.27
205,4511.25
206,4430.81
207,4600.01
208,4537.76
209,4571.42
210,4442.51
211,4520.69
212,4530.35
213,4618.28
214,4626.81
215,4555.32
216,4506.25
217,4575.19
218,4597.91
219,4622.97
220,4558.03
221,4451.02
222,4645.31
223,4624.32
224,4514.73
225,4551.18
226,4626.59
227,4597.03
228,4582.27
229,4539.98
230,4559.08
231,4504.04
232,4472.47
233,4448.27
234,4485.48
235,4525.09
236,4640.65
237,4501.83
238,4498.31
239,4513.7
240,4546.08
241,4527.1
242,4620.37
243,4487.07
244,4480.45
245,4587.75
246,4612.06
247,4562.7
248,4424.52
249,4473.86
250,4574.24
251,4594.73
252,4562.08
253,4618.67
254,4531.65
255,4532.79
256,4638.7
257,4599.98
258,4551.99
259,4533.02
260,4646.58
261,4651.2
262,4471.56
263,4481.38
264,4535.23
265,4519.67
266,4600.47
267,4585.8
268,4595.36
269,4596.19
270,4664.42
271,4431.1
272,4492.26
273,4541.71
274,4511.0
275,4399.01
276,4377.35
277,4481.02
278,4443.77
279,4664.47
280,4528.73
281,4664.11
282,4473.49
283,4631.62
284,4632.07
285,4510.35
286,4640.09
287,4582.48
288,4553.28
289,4610.19
290,4483.14
291,4617.57
292,4587.4
293,4505.73
294,4695.32
295,4596.87
296,4491.98
297,4461.46
298,4567.42
299,4519.92
300,4541.12
301,4508.71
302,4541.44
303,4740.86
304,4543.62
305,4532.84
306,4481.51
307,4459.42
308,4577.12
309,4634.47
310,4589.53
311,4553.12
312,4493.83
313,4530.8
314,4512.77
315,4584.67
316,4519.6
317,4580.41
318,4626.4
319,4487.99
320,4384.4
321,4453.92
322,4552.8
323,4505.25
324,4574.48
325,4582.13
326,4441.06
327,4819.96
328,4517.56
329,4665.5
330,4620.97
331,4648.34
332,4588.42
333,4581.11
334,4674.96
335,4528.64
336,4522.11
337,4644.48
338,4569.49
339,4476.88
340,4327.87
341,4410.13
342,4554.12
343,4489.36
344,4614.41
345,4579.44
346,4494.61
347,4513.19
348,4539.84
349,4530.66
350,4688.11
351,4601.34
352,4526.54
353,4539.36
354,4525.92
355,4472.06
356,4487.25
357,4608.37
358,4564.22
359,4515.83
360,4640.95
361,4567.84
362,4565.96
363,4652.84
364,4500.65
365,4540.29
366,4645.98
367,4432.1
368,4432.56
369,4468.52
370,4494.54
371,4588.84
372,4530.03
373,4616.9
374,4523.31
375,4685.65
376,4489.6
377,4592.48
378,4671.13
379,4595.45
380,4593.97
381,4536.43
382,4494.28
383,4589.68
384,4474.76
385,4549.81
386,4478.38
387,4507.59
388,4544.96
389,4455.13
390,4419.26
391,4623.54
392,4524.78
393,4567.0
394,4516.22
395,4459.15
396,4688.21
397,4600.34
398,4552.58
399,4477.78
400,4646.29
401,4608.96
402,4617.19
403,4597.42
404,4547.4
405,4507.24
406,4491.47
407,4601.15
408,4604.62
409,4568.37
410,4564.63
411,4570.02
412,4543.96
413,4600.42
414,4550.48
415,4560.71
416,4556.23
417,4442.65
418,4517.94
419,4569.75
420,4425.61
421,4602.25
422,4635.69
423,4597.12
424,4582.04
425,4614.91
426,4448.65
427,4510.72
428,4472.81
429,4445.03
430,4458.35
431,4544.34
432,4602.19
433,4590.07
434,4476.28
435,4602.14
436,4620.78
437,4614.27
438,4508.19
439,4756.21
440,4441.68
441,4489.5
442,4588.44
443,4508.74
444,4544.5
445,4478.56
446,4528.14
447,4620.42
448,4589.25
449,4552.96
450,4691.68
451,4566.14
452,4552.12
453,4525.65
454,4607.58
455,4546.74
456,4494.17
457,4400.56
458,4610.22
459,4551.88
460,4526.93
461,4541.95
462,4550.0
463,4503.95
464,4504.49
465,4688.16
466,4588.87
467,4513.15
468,4486.55
469,4659.56
470,4626.71
471,4482.15
472,4573.51
473,4568.74
474,4586.03
475,4512.82
476,4670.04
477,4515.66
478,4488.85
479,4470.46
480,4506.03
481,4506.81
482,4622.6
483,4605.49
484,4594.23
485,4563.23
486,4537.1
487,4469.47
488,4469.05
489,4578.0
490,4566.59
491,4525.7
492,4598.09
493,4474.96
494,4561.07
495,4561.26
496,4639.14
497,4479.09
498,4543.03
499,4465.17
500,4506.95
501,4535.32
502,4497.49
503,4444.67
504,4551.52
505,4594.92
506,4588.34
507,4668.6
508,4598.14
509,4627.6
510,4621.98
511,4485.76
512,4526.19
513,4496.24
514,4618.78
515,4585.75
516,4480.33
517,4510.28
518,4632.97
519,4443.92
520,4544.24
521,4584.42
522,4526.62
523,4577.85
524,4571.29
525,4493.39
526,4469.17
527,4457.65
528,4454.86
529,4641.22
530,4601.0
531,4484.94
532,4553.65
533,4534.61
534,4651.13
535,4553.1
536,4510.1
537,4535.4
538,4503.91
539,4513.98
540,4546.93
541,4545.89
542,4525.81
543,4597.53
544,4748.73
545,4513.69
546,4516.66
547,4586.08
548,4617.87
549,4555.52
550,4640.32
551,4603.65
552,4535.62
553,4526.33
554,4372.82
555,4512.72
556,4451.3
557,4640.64
558,4561.4
559,4575.17
560,4481.72
561,4407.44
562,4538.6
563,4582.57
564,4593.29
565,4690.41
566,4542.14
567,4537.32
568,4703.26
569,4618.34
570,4583.28
571,4651.08
572,4564.45
573,4489.14
574,4363.82
575,4546.99
576,4498.02
577,4597.54
578,4516.23
579,4649.4
580,4623.72
581,4683.43
582,4660.03
583,4564.01
584,4512.2
585,4599.72
586,4526.24
587,4587.32
588,4580.06
589,4597.17
590,4599.72
591,4503.27
592,4469.46
593,4601.25
594,4612.31
595,4486.75
596,4557.86
597,4492.61
598,4590.78
599,4465.51
600,4493.48
601,4558.48
602,4491.1
603,4538.35
604,4526.49
605,4542.56
606,4447.07
607,4571.67
608,4582.08
609,4588.95
610,4494.86
611,4480.84
612,4536.38
613,4560.1
614,4489.1
615,4459.99
616,4389.7
617,4610.52
618,4505.77
619,4514.2
620,4582.26
621,4666.59
622,4605.11
623,4698.14
624,4479.29
625,4521.54
626,4549.63
627,4659.65
628,4574.89
629,4522.45
630,4736.18
631,4506.95
632,4520.66
633,4533.37
634,4478.11
635,4460.89
636,4531.24
637,4702.5
638,4603.2
639,4634.45
640,4625.81
641,4545.61
642,4530.53
643,4594.65
644,4692.38
645,4454.58
646,4578.46
647,4601.34
648,4532.0
649,4581.58
650,4458.31
651,4482.28
652,4407.58
653,4402.39
654,4595.37
655,4555.92
656,4461.17
657,4494.72
658,4545.8
659,4463.14
660,4625.19
661,4618.66
662,4646.47
663,4320.78
664,4515.68
665,4717.42
666,4576.88
667,4608.3
668,4539.84
669,4551.11
670,4631.88
671,4476.34
672,4570.88
673,4595.41
674,4508.47
675,4518.76
676,4489.81
677,4531.19
678,4475.52
679,4687.05
680,4593.33
681,4561.65
682,4536.83
683,4534.03
684,4583.73
685,4414.26
686,4559.9
687,4610.68
688,4573.53
689,4588.78
690,4547.99
691,4595.29
692,4523.41
693,4563.89
694,4567.79
695,4696.38
696,4580.15
697,4582.42
698,4579.48
699,4585.54
700,4534.43
701,4454.87
702,4590.57
703,4631.72
704,4414.07
705,4428.79
706,4540.96
707,4617.55
708,4536.94
709,4582.53
710,4591.54
711,4663.54
712,4634.64
713,4689.48
714,4523.77
715,4615.03
716,4481.32
717,4381.31
718,4586.38
719,4551.88
720,4456.57
721,4510.82
722,4533.09
723,4667.42
724,4533.76
725,4673.44
726,4604.46
727,4528.89
728,4637.67
729,4633.61
730,4510.63
731,4475.68
732,4595.47
733,4599.83
734,4498.4
735,4625.16
736,4620.05
737,4562.06
738,4643.59
739,4482.5
740,4660.31
741,4574.77
742,4594.63
743,4658.8
744,4615.87
745,4586.46
746,4567.16
747,4473.84
748,4395.74
749,4582.49
750,4424.83
751,4581.7
752,4602.04
753,4519.06
754,4536.15
755,4628.18
756,4641.07
757,4581.75
758,4528.26
759,4546.39
760,4566.14
761,4495.11
762,4481.6
763,4450.68
764,4659.61
765,4567.54
766,4595.26
767,4535.76
768,4510.57
769,4579.76
770,4577.53
771,4445.87
772,4650.39
773,4450.19
774,4642.31
775,4613.27
776,4537.13
777,4566.21
778,4693.3
779,4677.69
780,4629.21
781,4593.08
782,4458.58
783,4599.92
784,4528.94
785,4600.53
786,4609.06
787,4592.11
788,4490.63
789,4682.01
790,4497.28
791,4705.12
792,4444.89
793,4596.33
794,4762.06
795,4626.89
796,4580.56
797,4555.51
798,4632.77
799,4519.62
800,4526.72
801,4552.49
802,4528.82
803,4433.54
804,4364.55
805,4665.58
806,4677.8
807,4630.41
808,4643.32
809,4539.93
810,4622.81
811,4407.39
812,4548.92
813,4656.03
814,4600.38
815,4569.42
816,4422.33
817,4608.25
818,4466.2
819,4466.3
820,4539.42
821,4587.59
822,4505.3
823,4566.26
824,4496.82
825,4693.2
826,4576.34
827,4458.62
828,4461.44
829,4529.45
830,4563.5
831,4658.36
832,4598.02
833,4524.9
834,4534.99
835,4488.64
836,4520.0
837,4476.29
838,4675.39
839,4570.66
840,4615.01
841,4556.62
842,4451.77
843,4519.39
844,4482.0
845,4588.66
846,4500.3
847,4612.41
848,4713.5
849,4518.13
850,4385.25
851,4529.75
852,4554.7
853,4420.41
854,4564.22
855,4571.76
856,4541.24
857,4475.34
858,4570.57
859,4566.15
860,4560.22
861,4540.98
862,4456.22
863,4657.51
864,4555.49
865,4512.64
866,4504.34
867,4607.94
868,4480.84
869,4672.54
870,4489.05
871,4565.48
872,4585.1
873,4490.3
874,4609.51
875,4556.96
876,4713.35
877,4644.59
878,4535.26
879,4461.13
880,4533.46
881,4484.76
882,4510.07
883,4612.84
884,4488.26
885,4714.61
886,4461.54
887,4594.69
888,4550.01
889,4539.69
890,4376.04
891,4456.42
892,4699.81
893,4670.71
894,4616.67
895,4517.74
896,4477.99
897,4474.73
898,4563.39
899,4692.42
900,4607.15
901,4700.15
902,4654.65
903,4536.92
904,4512.84
905,4596.42
906,4482.54
907,4459.56
908,4578.86
909,4496.08
910,4569.26
911,4454.57
912,4650.26
913,4595.13
914,4432.11
915,4579.39
916,4471.85
917,4632.72
918,4475.78
919,4694.9
920,4667.64
921,4483.89
922,4658.48
923,4604.95
924,4393.89
925,4603.65
926,4657.45
927,4594.37
928,4482.53
929,4580.67
930,4676.58
931,4660.74
932,4504.5
933,4556.16
934,4572.7
935,4564.69
936,4537.84
937,4549.22
938,4592.38
939,4548.83
940,4516.89
941,4500.57
942,4553.96
943,4584.88
944,4559.36
945,4536.99
946,4650.98
947,4515.41
948,4521.13
949,4498.42
950,4534.38
951,4561.28
952,4503.15
953,4416.63
954,4561.27
955,4528.43
956,4505.88
957,4483.32
958,4508.3
959,4536.81
960,4523.86
961,4572.34
962,4513.33
963,4625.97
964,4749.51
965,4533.87
966,4564.56
967,4529.81
968,4571.91
969,4594.93
970,4589.16
971,4423.14
972,4435.38
973,4523.64
974,4579.43
975,4478.66
976,4506.91
977,4609.78
978,4588.32
979,4648.31
980,4580.16
981,4693.56
982,4471.74
983,4419.2
984,4561.32
985,4638.56
986,4525.9
987,4501.89
988,4546.37
989,4586.51
990,4628.2
991,4554.16
992,4587.7
993,4474.4
994,4543.49
995,4638.7
996,4524.47
997,4420.36
998,4649.66
999,4567.53
1000,4522.09
