"Event_ID","Disaster_Severity_Level","Population_Affected","Available_Rescue_Units","Available_Medical_Units","Response_Time_Minutes","Distance_to_Hospital_KM","Infrastructure_Damage_Percent","Weather_Severity_Index","Communication_Network_Status_Percent","Resource_Allocation_Efficiency_Score","Population_Affected_norm","Available_Rescue_Units_norm","Available_Medical_Units_norm","Response_Time_Minutes_norm","Distance_to_Hospital_KM_norm","Infrastructure_Damage_Percent_norm","Weather_Severity_Index_norm","Communication_Network_Status_Percent_norm","Resource_Allocation_Efficiency_Score_norm","Disaster_Severity_Level_Encoded"
"EVT-00474","High",9727,41,21,51,21.8,52.1,5.9,59.2,62.8,0.186343020652872,0.525641025641026,0.39622641509434,0.433559650824442,0.406,0.521521521521522,0.568421052631579,0.584944048830112,0.574857142857143,2
"EVT-00069","Low",639,64,42,15.9,9.3,13.2,2.7,86.8,73.9,0.00944075681778366,0.82051282051282,0.792452830188679,0.0931134820562561,0.156,0.132132132132132,0.231578947368421,0.865717192268566,0.701714285714286,0
"EVT-00458","High",9483,34,13,39.6,29.1,59.7,8,49.2,48.5,0.181593444027018,0.435897435897436,0.245283018867925,0.322987390882638,0.552,0.597597597597598,0.789473684210526,0.483214649033571,0.411428571428571,2
"EVT-00234","Medium",2466,55,37,23.7,16.2,31.4,3.8,71.9,69.8,0.0450041850777646,0.705128205128205,0.69811320754717,0.168768186226964,0.294,0.314314314314314,0.347368421052632,0.714140386571719,0.654857142857143,1
"EVT-00077","Low",457,58,36,18.3,7.7,13.2,2,86.8,81.3,0.00589803982636794,0.743589743589744,0.679245283018868,0.11639185257032,0.124,0.132132132132132,0.157894736842105,0.865717192268566,0.786285714285714,0
"EVT-00008","Low",310,62,45,13.1,4.4,4.3,0.5,96.4,92.6,0.00303661456407062,0.794871794871795,0.849056603773585,0.0659553831231814,0.058,0.043043043043043,0,0.963377416073245,0.915428571428571,0
"EVT-00099","Low",464,58,43,13.4,9.3,14.1,2.3,91.5,81.9,0.00603429817219162,0.743589743589744,0.811320754716981,0.0688651794374394,0.156,0.141141141141141,0.189473684210526,0.91353001017294,0.793142857142857,0
"EVT-00078","Low",317,65,41,13,9.4,7.2,2.1,90.6,82.3,0.0031728729098943,0.833333333333333,0.773584905660377,0.0649854510184287,0.158,0.0720720720720721,0.168421052631579,0.904374364191251,0.797714285714286,0
"EVT-00357","Medium",3098,57,32,27.7,9,29.2,2.8,79.5,71.4,0.0573063671578456,0.730769230769231,0.60377358490566,0.207565470417071,0.15,0.292292292292292,0.242105263157895,0.791454730417091,0.673142857142857,1
"EVT-00381","Medium",2007,66,32,22,14.3,24,2.3,71.3,74.3,0.036069530687326,0.846153846153846,0.60377358490566,0.152279340446169,0.256,0.24024024024024,0.189473684210526,0.708036622583927,0.706285714285714,1
"EVT-00018","Low",205,77,50,15.2,5.4,3.2,2.2,100,94,0.000992739376715395,0.987179487179487,0.943396226415094,0.0863239573229874,0.078,0.032032032032032,0.178947368421053,1,0.931428571428571,0
"EVT-00175","Low",389,71,52,14.3,11.6,5.2,1.5,85.1,86.1,0.00457438732408074,0.91025641025641,0.981132075471698,0.0775945683802134,0.202,0.0520520520520521,0.105263157894737,0.848423194303153,0.841142857142857,0
"EVT-00253","Medium",1999,54,39,24.5,12.4,32.5,3.7,71.1,66.8,0.0359138068635275,0.692307692307692,0.735849056603774,0.176527643064985,0.218,0.325325325325325,0.336842105263158,0.706002034587996,0.620571428571429,1
"EVT-00176","Low",335,63,48,13,6.9,10.8,1.1,91.7,84.1,0.00352325151344091,0.807692307692308,0.905660377358491,0.0649854510184287,0.108,0.108108108108108,0.0631578947368421,0.915564598168871,0.818285714285714,0
"EVT-00194","Medium",3891,26,23,36.6,20.4,43.2,4,71.9,62,0.0727424911918712,0.333333333333333,0.433962264150943,0.293889427740058,0.378,0.432432432432432,0.368421052631579,0.714140386571719,0.565714285714286,1
"EVT-00092","Low",582,57,32,20.7,11.6,10.3,2.4,87.9,71.9,0.0083312245732194,0.730769230769231,0.60377358490566,0.139670223084384,0.202,0.103103103103103,0.2,0.876907426246185,0.678857142857143,0
"EVT-00151","Low",618,50,34,15.2,8.5,14.2,1.1,87.4,76.8,0.00903198178031262,0.641025641025641,0.641509433962264,0.0863239573229874,0.14,0.142142142142142,0.0631578947368421,0.871820956256358,0.734857142857143,0
"EVT-00466","High",7949,27,14,46.5,22,57.4,7.3,45.6,39.8,0.151733400813657,0.346153846153846,0.264150943396226,0.389912706110572,0.41,0.574574574574575,0.715789473684211,0.446592065106816,0.312,2
"EVT-00027","Low",626,62,40,17.8,9.9,15.6,2.4,81.9,90.5,0.00918770560411111,0.794871794871795,0.754716981132076,0.111542192046557,0.168,0.156156156156156,0.2,0.81586978636826,0.891428571428571,0
"EVT-00244","Medium",4009,43,22,41.4,18.7,35.8,4.2,65.4,61.5,0.075039417592899,0.551282051282051,0.415094339622642,0.340446168768186,0.344,0.358358358358358,0.389473684210526,0.648016276703967,0.56,1
"EVT-00544","Critical",42969,7,8,87.5,37.7,90.3,9.3,7.4,20,0.833414439491562,0.0897435897435897,0.150943396226415,0.787584869059166,0.724,0.903903903903904,0.926315789473684,0.0579857578840285,0.0857142857142857,3
"EVT-00396","High",13708,18,9,58.6,26.6,66.9,7.8,39,31.8,0.263835088470597,0.230769230769231,0.169811320754717,0.507274490785645,0.502,0.66966966966967,0.768421052631579,0.379450661241099,0.220571428571429,2
"EVT-00494","High",9234,38,19,49.5,26,57.7,6.5,46.4,49.2,0.17674654001129,0.487179487179487,0.358490566037736,0.419010669253152,0.49,0.577577577577578,0.631578947368421,0.454730417090539,0.419428571428571,2
"EVT-00246","Medium",3500,52,32,31.5,17.4,34.8,3.4,61.9,64.3,0.0651314893037199,0.666666666666667,0.60377358490566,0.244422890397672,0.318,0.348348348348348,0.305263157894737,0.612410986775178,0.592,1
"EVT-00265","Medium",4432,28,25,33.9,20.3,46,4.7,65,63.8,0.0832733147762443,0.358974358974359,0.471698113207547,0.267701260911736,0.376,0.46046046046046,0.442105263157895,0.643947100712106,0.586285714285714,1
"EVT-00189","Medium",2751,41,23,39.7,14,34.5,3.9,64.3,60.5,0.0505518463005859,0.525641025641026,0.433962264150943,0.323957322987391,0.25,0.345345345345345,0.357894736842105,0.636826042726348,0.548571428571429,1
"EVT-00210","Medium",2768,59,46,25.5,14.5,35.9,4,74.3,72.1,0.0508827594261577,0.756410256410256,0.867924528301887,0.186226964112512,0.26,0.359359359359359,0.368421052631579,0.738555442522889,0.681142857142857,1
"EVT-00047","Low",440,65,44,15.2,9.8,9.2,1.6,92.2,93,0.00556712670079614,0.833333333333333,0.830188679245283,0.0863239573229874,0.166,0.0920920920920921,0.115789473684211,0.920651068158698,0.92,0
"EVT-00094","Low",406,72,49,13.8,6,7.5,1.6,92.5,89.7,0.00490530044965254,0.923076923076923,0.924528301886792,0.07274490785645,0.09,0.0750750750750751,0.115789473684211,0.923702950152594,0.882285714285714,0
"EVT-00329","Medium",3841,46,32,30.8,13.6,36.6,4.4,66.3,55.3,0.0717692172931306,0.58974358974359,0.60377358490566,0.237633365664403,0.242,0.366366366366366,0.410526315789474,0.657171922685656,0.489142857142857,1
"EVT-00266","Medium",2119,37,29,23.9,16.1,34.4,3.2,76.4,70.3,0.0382496642205049,0.474358974358974,0.547169811320755,0.170708050436469,0.292,0.344344344344344,0.284210526315789,0.759918616480163,0.660571428571429,1
"EVT-00015","Low",417,68,52,10.6,7,8.3,1.5,91.3,90,0.00511942070737547,0.871794871794872,0.981132075471698,0.0417070805043647,0.11,0.0830830830830831,0.105263157894737,0.911495422177009,0.885714285714286,0
"EVT-00453","High",13278,9,11,59.4,22.3,54.6,5.7,48.5,45.6,0.255464932941428,0.115384615384615,0.207547169811321,0.515033947623666,0.416,0.546546546546547,0.547368421052632,0.476093591047813,0.378285714285714,2
"EVT-00113","Low",257,56,41,17.8,5.3,2.9,1,96.5,93.2,0.0020049442314056,0.717948717948718,0.773584905660377,0.111542192046557,0.076,0.029029029029029,0.0526315789473684,0.964394710071211,0.922285714285714,0
"EVT-00085","Low",466,47,28,11.5,9.8,11.4,2.1,86.5,81.3,0.00607322912814124,0.602564102564103,0.528301886792453,0.0504364694471387,0.166,0.114114114114114,0.168421052631579,0.862665310274669,0.786285714285714,0
"EVT-00575","Critical",39586,11,4,100.5,46.8,85.7,9,21.6,25.3,0.767562727502774,0.141025641025641,0.0754716981132075,0.913676042677013,0.906,0.857857857857858,0.894736842105263,0.202441505595117,0.146285714285714,3
"EVT-00461","High",9042,45,23,39.9,24.3,48,6.8,54,55.2,0.173009168240126,0.576923076923077,0.433962264150943,0.325897187196896,0.456,0.48048048048048,0.663157894736842,0.53204476093591,0.488,2
"EVT-00554","Critical",46908,9,6,107.3,40.1,90.9,9.5,24,22.6,0.910088957234345,0.115384615384615,0.113207547169811,0.979631425800194,0.772,0.90990990990991,0.947368421052632,0.226856561546287,0.115428571428571,3
"EVT-00373","Medium",3268,25,17,33.6,18.2,41.8,3.9,72.9,56.7,0.0606154984135635,0.320512820512821,0.320754716981132,0.264791464597478,0.334,0.418418418418418,0.357894736842105,0.724313326551373,0.505142857142857,1
"EVT-00491","High",11127,48,23,56,22.8,58.7,7.3,52.9,58.4,0.213594689817608,0.615384615384615,0.433962264150943,0.482056256062076,0.426,0.587587587587588,0.715789473684211,0.520854526958291,0.524571428571429,2
"EVT-00110","Low",638,56,42,16,8.7,18.5,2.4,85.6,75,0.00942129133980885,0.717948717948718,0.792452830188679,0.0940834141610087,0.144,0.185185185185185,0.2,0.853509664292981,0.714285714285714,0
"EVT-00213","Medium",4128,48,37,44.1,18.6,44.1,4.3,67.6,65.3,0.0773558094719016,0.615384615384615,0.69811320754717,0.366634335596508,0.342,0.441441441441441,0.4,0.670396744659206,0.603428571428571,1
"EVT-00490","High",10123,42,13,48.1,22.8,56.8,7.8,57.5,58.3,0.194051349930898,0.538461538461538,0.245283018867925,0.405431619786615,0.426,0.568568568568569,0.768421052631579,0.5676500508647,0.523428571428571,2
"EVT-00383","Medium",3127,41,23,31.8,16.7,36.2,5.4,70.2,61.3,0.0578708660191151,0.525641025641026,0.433962264150943,0.24733268671193,0.304,0.362362362362362,0.515789473684211,0.696846388606307,0.557714285714286,1
"EVT-00574","Critical",41302,11,8,85.3,32.2,85.7,8.9,27.6,21.7,0.800965487707551,0.141025641025641,0.150943396226415,0.766246362754607,0.614,0.857857857857858,0.88421052631579,0.263479145473042,0.105142857142857,3
"EVT-00323","Medium",2965,46,33,28.2,15.3,27.5,3.5,64.4,67.1,0.0547174585871956,0.58974358974359,0.622641509433962,0.212415130940834,0.276,0.275275275275275,0.315789473684211,0.637843336724313,0.624,1
"EVT-00060","Low",533,59,47,11.7,6.6,8.4,1.8,90.7,88.7,0.00737741615245362,0.756410256410256,0.886792452830189,0.052376333656644,0.102,0.0840840840840841,0.136842105263158,0.905391658189217,0.870857142857143,0
"EVT-00135","Low",192,69,45,8.5,4.4,4.4,0.7,95.5,100,0.000739688163042844,0.884615384615385,0.849056603773585,0.0213385063045587,0.058,0.044044044044044,0.0210526315789474,0.954221770091557,1,0
"EVT-00054","Low",706,58,39,14.1,9.6,13.4,3.4,90.6,78.8,0.010744943842096,0.743589743589744,0.735849056603774,0.075654704170708,0.162,0.134134134134134,0.305263157894737,0.904374364191251,0.757714285714286,0
"EVT-00315","Medium",3369,67,32,32.3,15.9,37.2,4.3,70.6,63.6,0.0625815116890195,0.858974358974359,0.60377358490566,0.252182347235693,0.288,0.372372372372372,0.4,0.700915564598169,0.584,1
"EVT-00577","Critical",25050,18,10,85.1,37.5,71.6,7.4,25.9,36.6,0.484612539660911,0.230769230769231,0.188679245283019,0.764306498545102,0.72,0.716716716716717,0.726315789473684,0.24618514750763,0.275428571428571,3
"EVT-00242","Medium",3664,34,13,30.9,17.2,39.7,4.8,65.3,54.7,0.068323827691589,0.435897435897436,0.245283018867925,0.238603297769156,0.314,0.397397397397397,0.452631578947368,0.646998982706002,0.482285714285714,1
"EVT-00222","Medium",3004,36,27,35.8,16.3,43.3,3.9,64.1,51.7,0.0554766122282133,0.461538461538462,0.509433962264151,0.286129970902037,0.296,0.433433433433433,0.357894736842105,0.634791454730417,0.448,1
"EVT-00289","Medium",2137,71,46,24.8,14.2,27.8,4.2,77,75.6,0.0386000428240515,0.91025641025641,0.867924528301887,0.179437439379243,0.254,0.278278278278278,0.389473684210526,0.766022380467955,0.721142857142857,1
"EVT-00179","Low",567,71,48,13.1,8.2,8.1,2.4,95.2,93.9,0.00803924240359722,0.91025641025641,0.905660377358491,0.0659553831231814,0.134,0.0810810810810811,0.2,0.95116988809766,0.930285714285714,0
"EVT-00093","Low",535,55,39,14.2,9.6,13.4,2.2,85.5,81.1,0.00741634710840325,0.705128205128205,0.735849056603774,0.0766246362754607,0.162,0.134134134134134,0.178947368421053,0.852492370295015,0.784,0
"EVT-00391","High",11415,36,17,62.1,23.9,60,7.5,55.4,53.4,0.219200747474354,0.461538461538462,0.320754716981132,0.541222114451988,0.448,0.600600600600601,0.736842105263158,0.546286876907426,0.467428571428571,2
"EVT-00090","Low",672,46,40,14.1,7.1,6.4,2.3,87.3,86.7,0.0100831175909524,0.58974358974359,0.754716981132076,0.075654704170708,0.112,0.0640640640640641,0.189473684210526,0.870803662258393,0.848,0
"EVT-00145","Low",260,68,43,7.5,5,4.2,1.1,100,95.5,0.00206334066533004,0.871794871794872,0.811320754716981,0.011639185257032,0.07,0.042042042042042,0.0631578947368421,1,0.948571428571429,0
"EVT-00208","Medium",2059,46,31,27.7,16.4,26.7,3.9,73.9,70.1,0.0370817355420162,0.58974358974359,0.584905660377358,0.207565470417071,0.298,0.267267267267267,0.357894736842105,0.734486266531028,0.658285714285714,1
"EVT-00338","Medium",2973,32,32,39.2,16.7,44.2,3.3,56.3,65.6,0.0548731824109941,0.41025641025641,0.60377358490566,0.319107662463628,0.304,0.442442442442442,0.294736842105263,0.555442522889115,0.606857142857143,1
"EVT-00364","Medium",4005,40,27,36.5,19.8,46.5,4.3,47.6,54.5,0.0749615556809997,0.512820512820513,0.509433962264151,0.292919495635306,0.366,0.465465465465465,0.4,0.466937945066124,0.48,1
"EVT-00218","Medium",3028,56,37,31.3,15.7,36.6,4.4,62,58.7,0.0559437836996087,0.717948717948718,0.69811320754717,0.242483026188167,0.284,0.366366366366366,0.410526315789474,0.613428280773143,0.528,1
"EVT-00542","Critical",42405,6,3,89.5,41.2,83.3,9.3,16.4,24.3,0.822435909913768,0.0769230769230769,0.0566037735849057,0.806983511154219,0.794,0.833833833833834,0.926315789473684,0.149542217700916,0.134857142857143,3
"EVT-00023","Low",346,69,39,13.2,7.7,10.8,2.2,90.3,94.2,0.00373737177116384,0.884615384615385,0.735849056603774,0.066925315227934,0.124,0.108108108108108,0.178947368421053,0.901322482197355,0.933714285714286,0
"EVT-00216","Medium",1763,53,32,29.1,13.4,36.4,4.7,68.3,61.6,0.031319954061472,0.67948717948718,0.60377358490566,0.221144519883608,0.238,0.364364364364364,0.442105263157895,0.677517802644964,0.561142857142857,1
"EVT-00250","Medium",3109,36,29,34.7,15,38,4.5,67.6,66.4,0.0575204874155685,0.461538461538462,0.547169811320755,0.275460717749757,0.27,0.38038038038038,0.421052631578947,0.670396744659206,0.616,1
"EVT-00043","Low",310,60,36,18.4,9.8,6.1,2,95.7,88.6,0.00303661456407062,0.769230769230769,0.679245283018868,0.117361784675073,0.166,0.0610610610610611,0.157894736842105,0.956256358087487,0.869714285714286,0
"EVT-00115","Low",577,44,32,17.3,10.7,15.5,2.9,84.8,77.9,0.00823389718334534,0.564102564102564,0.60377358490566,0.106692531522793,0.184,0.155155155155155,0.252631578947368,0.845371312309257,0.747428571428571,0
"EVT-00595","Critical",41649,14,6,83.2,36,79.3,8.2,28.2,29.8,0.80772000856481,0.179487179487179,0.113207547169811,0.745877788554801,0.69,0.793793793793794,0.810526315789474,0.269582909460834,0.197714285714286,3
"EVT-00144","Low",272,66,41,11.7,7.6,8.6,2,94.5,83,0.00229692640102778,0.846153846153846,0.773584905660377,0.052376333656644,0.122,0.0860860860860861,0.157894736842105,0.944048830111902,0.805714285714286,0
"EVT-00165","Low",437,68,38,14.7,9.1,11.8,1.2,88.4,83.8,0.0055087302668717,0.871794871794872,0.716981132075472,0.081474296799224,0.152,0.118118118118118,0.0736842105263158,0.881993896236012,0.814857142857143,0
"EVT-00010","Low",433,65,40,11.4,5.6,12.4,2,93.1,91.7,0.00543086835497246,0.833333333333333,0.754716981132076,0.049466537342386,0.082,0.124124124124124,0.157894736842105,0.929806714140387,0.905142857142857,0
"EVT-00298","Medium",2796,55,32,34.4,11.5,38.2,4,72.2,59,0.0514277928094524,0.705128205128205,0.60377358490566,0.272550921435499,0.2,0.382382382382382,0.368421052631579,0.717192268565615,0.531428571428571,1
"EVT-00451","High",10935,22,17,61.5,27.1,52.9,6.8,53.4,54.5,0.209857318046445,0.282051282051282,0.320754716981132,0.535402521823472,0.512,0.529529529529529,0.663157894736842,0.525940996948118,0.48,2
"EVT-00055","Low",466,63,44,11.5,8,10.5,1.4,92.4,89.8,0.00607322912814124,0.807692307692308,0.830188679245283,0.0504364694471387,0.13,0.105105105105105,0.0947368421052631,0.922685656154629,0.883428571428571,0
"EVT-00272","Medium",5062,25,15,43.9,18.9,51,5.4,54.4,49.5,0.0955365659003757,0.320512820512821,0.283018867924528,0.364694471387003,0.348,0.51051051051051,0.515789473684211,0.536113936927772,0.422857142857143,1
"EVT-00526","High",5476,51,28,42.1,16.5,58.5,6.5,64.8,60.4,0.103595273781948,0.653846153846154,0.528301886792453,0.347235693501455,0.3,0.585585585585586,0.631578947368421,0.641912512716175,0.547428571428571,2
"EVT-00438","High",7616,39,14,47.9,21.3,47.6,5.7,55,56.4,0.145251396648045,0.5,0.264150943396226,0.40349175557711,0.396,0.476476476476476,0.547368421052632,0.542217700915565,0.501714285714286,2
"EVT-00276","Medium",2677,36,29,30.9,14.5,35,4.9,63.2,65.3,0.0491114009304498,0.461538461538462,0.547169811320755,0.238603297769156,0.26,0.35035035035035,0.463157894736842,0.625635808748728,0.603428571428571,1
"EVT-00120","Low",346,56,38,10.2,5.4,6.2,2,88.7,86.3,0.00373737177116384,0.717948717948718,0.716981132075472,0.037827352085354,0.078,0.0620620620620621,0.157894736842105,0.885045778229908,0.843428571428571,0
"EVT-00005","Low",519,61,44,14,7.5,8.1,2.1,85,83.3,0.00710489946080626,0.782051282051282,0.830188679245283,0.0746847720659554,0.12,0.0810810810810811,0.168421052631579,0.847405900305188,0.809142857142857,0
